Time;Xpos;Ypos;Zpos;Roll;Pitch;Yaw
J0:19:15:30:036;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:30:436;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:30:842;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:31:242;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:31:641;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:32:041;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:32:434;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:32:841;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:33:241;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:33:640;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:34:040;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:34:440;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:34:846;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:35:239;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:35:639;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:36:039;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:36:439;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:36:845;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:37:245;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:37:638;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:38:038;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:38:438;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:38:844;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:39:244;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:39:637;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:40:037;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:40:436;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:40:843;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:41:242;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:41:642;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:42:035;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:42:435;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:42:842;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:43:241;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:43:641;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:44:041;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:44:434;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:44:834;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:45:234;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:45:633;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:46:040;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:46:439;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:46:833;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:47:232;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:47:632;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:48:039;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:48:438;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:48:838;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:49:231;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:49:631;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:50:037;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:50:437;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:50:837;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
J0:19:15:51:237;37891.0;-84427.0;-53621.0;0.0;0.0;89.999985
